AccountId,RecordTypeId,Name,StageName,CloseDate,Activity__c,Offer__c,CurrencyIsoCode,ChannelType__c
001IV000015S8j4YAC,012IV000001jKlBYAU,DIANA GROUP - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jBYAS,012IV000001jKlBYAU,TORAY - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SADrYAO,012IV000001jKlBYAU,ELYSEE COSMETIQUES - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85xYAC,012IV000001jKlBYAU,ACIAL - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S507YAC,012IV000001jKlBYAU,FOSSIL GROUP - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SADoYAO,012IV000001jKlBYAU,EIS - EURO INFORMATION - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyE1YAK,012IV000001jKlBYAU,FREUDENBERG SEALING TECHNOLOGIES sas - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6VVYA0,012IV000001jKlBYAU,M. CHAPOUTIER - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50CYAS,012IV000001jKlBYAU,BIC RASOIRS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85sYAC,012IV000001jKlBYAU,VISKASE SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8igYAC,012IV000001jKlBYAU,WHAT'S COOKING FRANCE (EX STEFANO TOSELLI) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHkYAO,012IV000001jKlBYAU,EMG-EARLY MAKERS GROUP - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTMYA0,012IV000001jKlBYAU,CORNING POUYET SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTWYA0,012IV000001jKlBYAU,ROCHLING INDUSTRIAL NANCY - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SJXYYA4,012IV000001jKlBYAU,NESTLE PURINA CENTRE R&D - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHoYAO,012IV000001jKlBYAU,EUROAPI - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S1XOYA0,012IV000001jKlBYAU,VW BANK - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHuYAO,012IV000001jKlBYAU,FRENEHARD ET MICHAUX - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SADsYAO,012IV000001jKlBYAU,FROMAGERIE DE VIHIERS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S9GHYA0,012IV000001jKlBYAU,AGH ALAIN GLON HOLDING - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewIYAS,012IV000001jKlBYAU,COMATELEC SCHREDER - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTgYAK,012IV000001jKlBYAU,FROMAGERIE PERREAULT - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eaYAC,012IV000001jKlBYAU,EUROLYSINE (ex METEX NOOVISTAGO) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTiYAK,012IV000001jKlBYAU,NUTRISET - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eWYAS,012IV000001jKlBYAU,SALOMON MAVIC (PONTOON) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewRYAS,012IV000001jKlBYAU,ADECCO OUTSOURCING - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015MBzIYAW,012IV000001jKlBYAU,CONSTELLIUM MONTREUIL JUIGNE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewOYAS,012IV000001jKlBYAU,AUBIN IMPRIMEUR - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTaYAK,012IV000001jKlBYAU,BRANDT FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8j6YAC,012IV000001jKlBYAU,VOLKSWAGEN GROUP FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewBYAS,012IV000001jKlBYAU,ONDULYS (VPK Group) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8iZYAS,012IV000001jKlBYAU,GROUPE SYLVAGREG (ICARE) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2STYA0,012IV000001jKlBYAU,GHM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDmYAK,012IV000001jKlBYAU,GROUPE MAINE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eAYAS,012IV000001jKlBYAU,PIERRE FABRE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ixYAC,012IV000001jKlBYAU,ABB FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jAYAS,012IV000001jKlBYAU,INTERFORUM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
