Id,NetsuiteId__c,Status__c
a04IV00000rHNUFYA4,20754,Paid In Full
a04IV00000rHNUGYA4,20845,Open
a04IV00000rHNUCYA4,20835,Paid In Full
a04IV00000rHNUHYA4,19841,Paid In Full
a04IV00000rHNUIYA4,20565,Paid In Full
a04IV00000rHNU2YAO,20254,Paid In Full
a04IV00000rHNU4YAO,20260,Paid In Full
a04IV00000rHNVCYA4,21047,Paid In Full
a04IV00000rHNVDYA4,20527,Open
a04IV00000rHNVGYA4,20942,Paid In Full
a04IV00000rHNV1YAO,20647,Paid In Full
a04IV00000rHNVIYA4,19997,Paid In Full
a04IV00000rHNVKYA4,20696,Paid In Full
a04IV00000rHNVMYA4,20051,Paid In Full
a04IV00000rHNUyYAO,21042,Paid In Full
a04IV00000rHNUYYA4,20701,Paid In Full
a04IV00000rHNVPYA4,19975,Paid In Full
a04IV00000rHNVQYA4,20888,Open
a04IV00000rHNVSYA4,20929,Paid In Full
a04IV00000rHNUTYA4,20811,Paid In Full
a04IV00000rH7FTYA0,20856,Paid In Full
a04IV00000rHNVTYA4,21064,Paid In Full
a04IV00000rHNUcYAO,20580,Paid In Full
a04IV00000rHNVVYA4,20059,Open
a04IV00000rHNUhYAO,20117,Open
a04IV00000rHNVXYA4,20463,Paid In Full
a04IV00000rHNUWYA4,20674,Paid In Full
a04IV00000rHNUXYA4,20047,Open
a04IV00000rHNUqYAO,20253,Paid In Full
a04IV00000rHNVEYA4,19989,Open
a04IV00000rHNUxYAO,20779,Paid In Full
a04IV00000rHNUPYA4,20730,Paid In Full
a04IV00000rHNUfYAO,20244,Paid In Full
a04IV00000rHNVbYAO,20252,Paid In Full
a04IV00000rHNVcYAO,19988,Paid In Full
a04IV00000rHNUMYA4,20176,Open
a04IV00000rHNVgYAO,20926,Open
a04IV00000rHNUzYAO,20461,Paid In Full
a04IV00000rHNViYAO,20482,Paid In Full
a04IV00000rHNUnYAO,20511,Open
a04IV00000rHNVjYAO,20617,Paid In Full
a04IV00000rHNVlYAO,20887,Open
a04IV00000rHNVnYAO,20543,Paid In Full
a04IV00000rHNVpYAO,20737,Paid In Full
a04IV00000rHNUdYAO,20423,Open
a04IV00000rHNUUYA4,20831,Open
a04IV00000rHNVqYAO,20040,Paid In Full
a04IV00000rHNVrYAO,20677,Paid In Full
a04IV00000rHNUZYA4,20375,Paid In Full
a04IV00000rHNVkYAO,20273,Open
a04IV00000rHNUoYAO,20646,Paid In Full
a04IV00000rHNVeYAO,20834,Paid In Full
a04IV00000rHNVxYAO,20857,Paid In Full
a04IV00000rHNW5YAO,20621,Open
a04IV00000rHNW6YAO,21051,Paid In Full
a04IV00000rHNW7YAO,20761,Open
a04IV00000rHNW8YAO,20718,Open
a04IV00000rHNW9YAO,20013,Paid In Full
a04IV00000rHNUNYA4,20315,Paid In Full
a04IV00000rHNUjYAO,20629,Paid In Full
a04IV00000rHNUsYAO,20267,Paid In Full
a04IV00000rHNWAYA4,20067,Paid In Full
a04IV00000rHNWBYA4,20263,Paid In Full
a04IV00000rHNW4YAO,20462,Paid In Full
a04IV00000rHNWDYA4,20258,Paid In Full
a04IV00000rHNURYA4,20528,Paid In Full
a04IV00000rHNWGYA4,20025,Paid In Full
a04IV00000rHNWHYA4,20502,Paid In Full
a04IV00000rHNUrYAO,20982,Paid In Full
a04IV00000rHNWIYA4,20257,Open
a04IV00000rHNUVYA4,20056,Paid In Full
a04IV00000rHNWKYA4,19981,Paid In Full
a04IV00000rHNUtYAO,20196,Open
a04IV00000rHNWNYA4,19815,Open
a04IV00000rHNWMYA4,20039,Open
a04IV00000rHNWOYA4,20101,Paid In Full
a04IV00000rHNWQYA4,20829,Paid In Full
a04IV00000rHNWSYA4,20064,Paid In Full
a04IV00000rHNWTYA4,20693,Paid In Full
a04IV00000rHNWUYA4,20087,Open
a04IV00000rHNWVYA4,19986,Paid In Full
a04IV00000rHNWWYA4,21045,Paid In Full
a04IV00000rHNWPYA4,20514,Paid In Full
a04IV00000rHNWZYA4,20943,Paid In Full
a04IV00000rHNWcYAO,20597,Paid In Full
a04IV00000rHNVzYAO,20495,Open
a04IV00000rHNWdYAO,20781,Paid In Full
a04IV00000rHNUlYAO,20880,Paid In Full
a04IV00000rHNWeYAO,20243,Open
a04IV00000rHNWfYAO,19974,Paid In Full
a04IV00000rHNWiYAO,20507,Paid In Full
a04IV00000rHNWjYAO,21017,Paid In Full
a04IV00000rHNWkYAO,20643,Paid In Full
a04IV00000rHNWlYAO,20329,Open
a04IV00000rHNWmYAO,20038,Paid In Full
a04IV00000rHNWRYA4,20623,Paid In Full
a04IV00000rHNWnYAO,20780,Paid In Full
a04IV00000rHNWoYAO,21043,Paid In Full
a04IV00000rHNWpYAO,21063,Paid In Full
a04IV00000rHNWqYAO,20355,Paid In Full
a04IV00000rHNUQYA4,20344,Paid In Full
a04IV00000rHNWsYAO,20386,Paid In Full
a04IV00000rHNWtYAO,20936,Paid In Full
a04IV00000rHNVhYAO,20855,Paid In Full
a04IV00000rHNWaYAO,20762,Paid In Full
a04IV00000rHNWbYAO,19953,Paid In Full
a04IV00000rHNWXYA4,20088,Paid In Full
a04IV00000rHNV3YAO,20492,Open
a04IV00000rHNWuYAO,20719,Paid In Full
a04IV00000rHNWvYAO,20928,Paid In Full
a04IV00000rHNW2YAO,20501,Paid In Full
a04IV00000rHNX0YAO,20971,Paid In Full
a04IV00000rHNX2YAO,20113,Paid In Full
a04IV00000rHNX3YAO,20289,Paid In Full
a04IV00000rHNX4YAO,20303,Open
a04IV00000rHNX6YAO,20927,Open
a04IV00000rHNX8YAO,20555,Open
a04IV00000rHNX9YAO,20494,Open
a04IV00000rHNV4YAO,19993,Open
a04IV00000rHNXCYA4,20229,Paid In Full
a04IV00000rHNXDYA4,20448,Open
a04IV00000rHNXEYA4,20686,Paid In Full
a04IV00000rHNXFYA4,20081,Paid In Full
